url,slokenumber,text
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,"['4-66-28', ' 29a']","""On scrutinising that you are unhurt even after hit by Thunderbolt, oh, ablest Hanuma, the Thousand-eyed Indra kind-heartedly gave you a choicest boon saying that your death occurs only by your own volition... [4-66-28, 29a]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,"['4-66-29b', ' 30']","""Such as you are, you are Kesari's son through his wife, oh, frightful pugilist, and you are the lineal son of Air-god, and even by your gusting you are selfsame to Air-god, and even by your flying also you are his selfsame to Air-god, in all respects... [4-66-29b, 30]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-31'],"""Presently we are as good as dead, and among us presently you are the only one rife with competence and valiance, you are the other Sugreeva, the king of monkeys, to us... [4-66-31]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-32'],"""During the period of Trivikrama incarnation I have circumambulated the earth inclusive of its mountains, forests and thickets for twenty-one times, moving rightward around it... [4-66-32]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-33'],"""Like that, by the order of gods we ourselves have collected those herbal plants with which ambrosia had to be churned from Milky Ocean, and in that way, then there used to be a great energy for us... [4-66-33]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-34'],"""Such as I am, I am now aged and my valiance is completely lessened... but at the present time, you alone are endowed with all endowments among us... [4-66-34]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-35'],"""Thereby oh, vanquisher Hanuma, you give a jump-start to leap the ocean. Indeed, you alone are the best one among all fly-jumpers, and this entire vanara army is anxious to witness your prowess... [4-66-35]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-36'],"""Arise, oh, lion-like monkey, leap over this vast ocean, oh, Hanuma, your escape velocity is indeed unalike that of all the other beings... [4-66-36]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-37'],"""Oh, Hanuma, all these monkeys are dispirited. Why this indolence of yours? You boldly triumph over the ocean as your speed is highest, supersonic, super-photic, super-cerebric is your celerity. As with Vishnu who trod the triad of worlds in a trice, you too triumph over..."" Thus Jambavanta persuaded Hanuma to get ready for action. [4-66-37]"
https://www.valmikiramayan.net/utf8/kish/sarga66/kishkindhasans66.htm,['4-66-38'],"Thereafter, when the best monkey among monkeys, namely Jambavanta, the king of bears has motivated, then that son of Air-god, Hanuma, whose speed is familiar coupled with his irresistible enterprise, enormously increased his physique as though to gladded the army of monkeys. [4-66-38]"
