url,slokenumber,text
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"Hearing the words of Sugreeva, Dadhimukha the monkey was pleased and offered his salutation  with reverence to Rama, Lakshmana"
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"After offering salutation to Sugreeva and to the mighty Rama and Lakshmana, that Dadhimukha  accompanied by his valiant monkeys, sprang into the air."
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"That Dadhimukha, after entering Madhuvana, saw all the chiefs of monkeys, who were free  from their intoxication, having passed off the honey and who were inwardly excited."
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"With his hands joined together for salutation, that valiant Dadhimukha approached them  and cheerfully spoke the following gentle words to Angada."
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""O gentle sir! Due to their ignorance, these guards in anger obstructed you to enter  the grove. No resentment should be harboured by you about this obstruction."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""O exceedingly strong Angada! You are the prince and also the master of this grove. We  have done a mistake"
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""O faultless Angada! After going there, I indeed informed your uncle about the arrival  of all these monkeys here."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""Hearing your arrival along with these leaders of monkeys, your uncle was exceedingly  pleased. Even after hearing of Madhuvana having been attacked, he did not develop any anger."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""Sugreeva, your uncle, the lord of monkeys and the king was pleased and told me, 'send  all the monkeys here'."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"Hearing these smooth words of Dadhimukha, the eloquent Angada, the foremost among the  monkeys, spoke to those monkeys as follows:"
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""O the foremost of monkeys, the tormentators of enemies! I assume that Rama might have  heard the news (of our arrival). Hence, it is not proper for us to remain here any longer, now that  our work has been accomplished."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""The monkeys are taking, rest, after drinking the honey to their heart's content. What  is there remaining, except to go to the place where Sugreeva my uncle is there?"""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""I shall do whatever all the leaders of monkeys together tell me. I am obedient to you,  in the matter of what ought to be done."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""I am not the master to command you, eventhough I am the crown prince. It is not befitting  for me to play the lord over you, who have accomplished the task."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"Hearing the indeclinable words spoken thus by Angada, the monkeys with their pleased  minds, spoke to him (as follows:"
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""O prince, the foremost of monkeys! Who would speak like this, while he is the lord?  Every one indeed thinks one's supremacy with an excited arrogance and says 'I, I'."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""It is so worthy of you alone that you have spoken such words. None else can utter like  this. Your humility itself is telling of your future suitableness for prosperity."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""All of us, who reached here, are waiting for the right moment to go to that place where  Sugreeva, the imperishable king of the heroic monkeys, is."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""O the excellent of monkeys! Without your command, it is not possible for the monkeys  anywhere, even a step forward. We are speaking this truth to you."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"While they were thus speaking; Angada replied, ""Let us go."" The mighty monkeys then sprang  into the air."
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"All those leaders of monkey-troops, like stones shot from a catapult, making the space  space-less, followed Angada, who was springing forward."
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"Those monkeys with speed, sounding forth a loud noise, sprang into the sky, like clouds  driven by the wind."
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"Even before Angada landed there, Sugreeva, the king of monkeys spoke to the louts-eyed  Rama, who was afflicted with grief (as follows):"
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""Be pacified! Happiness to you! The princess has been seen. There is not doubt. When  the time earlier fixed by us exceeds beyond limit, it is not possible for them to come here."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""Angada, the long-armed prince and the most excellent of monkeys does not make his appearance  before my vicinity, if the work is ruined."""
https://www.valmikiramayan.net/utf8/sundara/sarga64/sundarasans64.htm,[],"""Even if such an exploit may be possible by these monkeys who have not been able to accomplish  their work, Angada would have worn a sad face and felt perplexed and scattered in mind."""
