url,slokenumber,text
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"Afterwards ,the self composed Rama by controlling his thoughts with courage ,approached  the kind -hearted and affectionate brother Lakshmana who was distressed with agony who was very much  angry like a hissing king cobra ,with his eyes dilated with wrath and spoke the following words."
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],""" Hold back grief and anger. Forget this insult, by taking refuge in courage alone. Obtain  great joy! Abandon all these arrangements made today for my coronation and immediately take up action  that is faultless ."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Oh, Lakshmana! Show the same zeal now in terminating my coronation as the zeal shown  earlier in preparations for my coronation."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""My mother Kaikeyi is still agonized about my coronation. Behave in such a way that no  apprehension comes to her mind on this matter."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""I do not remember to have done even a small disagreeable thing here at any time to my  mothers or to my father, either intentionally or unintentionally."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Let the promise made by my father ,who is truthful, who is truly mighty and who is afraid  of the fear of the other world, become true .Let him be fearless."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Our father will feel anguished that his word has not come true ,if this coronation is  not withdrawn. His distress will cause pain to me."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Oh, Lakshmana for that reason, I wish to go to forest immediately from her, by withdrawing,  coronation arrangement."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Soon after my departure to the forest now, Kaikeyi having accomplished her purpose,  will coolly get her son coronated."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""If go to forest , wearing deer -skin rags and with my hair twisted together Kaikeyi  will have mental peace."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""I do not want to create trouble to my father, who has taken this hard decision in his  mind . Hence, I will go to the forest at once"
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Oh, Lakshmana! Look at it as destiny which has taken back kingdom given to me and which  is sending me to exile"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"-""If not making of destiny to create such a thought in Kaikeyi, how come she resolved  to harass?"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""You know that I had no discrimination among mothers and Kaikeyi also in the past had  no discrimination between me and her son Bharata"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""I do not perceive any other reason than an accident that made Kaikeyi to abolish my  coronation , to send me to exile ,and to speak ferocious words ,not to be talked about."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""If it is for not an accidental reason, how Kaikeyi who is of a perfect temperament and  who is born in a royal family can tell like a common woman to her husband to create trouble for me ?"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""The influence of destiny is un imaginable. No living being can counteract its influence.  An adverse fate has befallen on me and on her .It is clear now ."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Oh, Lakshmana! There is no means whatsoever to abstain from it otherwise than to follow  the course of destiny. Who will be able to fight against the destiny. ?"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Pleasure and pain, fear and anger, gain and loss, birth and death and such other things  are all the acts of destiny"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Even sages, who performed sever penance, having been harassed by destiny leave aside  restraint and get ruined by lust and anger."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""It is indeed an act of destiny which suddenly and unimaginably obstructs an action,  undertaken in the world ,at the starting point itself."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Although my coronation is obstructed, I have no grief since I have restrained the self  by myself with real consciousness."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Hence ,you also ,like me, get the arrangements for coronation withdrawn immediately  without any anguish"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"Oh, Lakshmana! Let all these very pots of water arranged for coronation be used by me  for my bath after completing the religious vow of asceticism."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Otherwise ,why to me this water in these pots ,which is royal property? The water drawn  out by myself ,will be used for my bath after completing the religious vow."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Oh, Lakshmana! Do not repent about this perverseness of Lakshmi, the goddess of wealth.  When you talk of kingdom or dwelling in the forest, this is the final beautitude."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga22/ayodhyasans22.htm,[],"""Oh, Lakshmana! Do not suspect our mother for obstruction of coronation ceremony. She  is uttering evil words, being overpowered by destiny. You are aware of this destiny, which has such  influence."""
