url,slokenumber,text
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"Hearing Rama's words, Bharata replied as follows: ""What will the discharge of royal duties amount to me, who is outside of that code?"""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""O, the foremost of men! O, Majesty! It has been ever the established tradition in us that while the elder son is there, the younger one cannot become a king."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""O, Rama! Therefore, come to the prosperous Ayodhya along with me and get anointed in kingdom for the welfare of our race."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""The king, whom people speak of as a human being and whose conduct is in conformity with righteousness and worldly prosperity, they declare as super- human, is conceded by me as a god-head."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""While I was there in Kekaya kingdom and you had proceeded tot he forest, the king Dasaratha, the revered one who was given to the performance of sacrifices and was honoured by the virtuous, has gone to heaven."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""Hardly were you gone with Seetha and Lakshmana, than the king succumbed to misfortune and grief and ascended to the most sacred heaven."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""Arise, O the Tiger among men! Let the traditional libations of water be offered to our father. Shatrughna and I have previously done it."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""O, Rama! It is said that the one given by an affectionate son becomes measureless and you undoubtedly are beloved to our father."""
https://www.valmikiramayan.net/utf8/ayodhya/sarga102/ayodhyasans102.htm,[],"""Entirely abandoned by you, lamenting about you, desirous of beholding you, being not able to turn away his mind absorbed in you alone, immersed in grief of you and recollecting you, your father died."""
