url,slokenumber,text
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-1'],"When Vishnu attained the sonship of the great-souled king Dasharatha, then Brahma     the self-created addressed all of the gods this way. [1-17-1]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-2'],"""Let mighty and guise changing helpmates be procreated to that truth abiding and     valorous Vishnu who is the well-wisher of all of us. [1-17-2]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,"['1-17-3', ' 4', ' 5', ' 6']","""Let monkey-shaped progeny equalling Vishnu's valour be procreated from the physiques     of prominent apsara-s and gandharva-s, from the girls of yaksha-s and pannaga-s,     and also thus from the bodies of kinnaraa-s, she-vidyaadharaa-s, she-riksha-s     and she-monkeys, and they shall be wizards of miracles and audacious ones, in     travel they shall have air's speed, bestowed with intellect they shall be the     knowers of ideation, and with their divine physique they shall be ineliminable,     they shall be endowed with all the assaultive aspects of all missiles, and they     shall be untiring in their efforts, like you who thrive on amrita, the ambrosia,     unmindful of thirst and hunger. [1-17-3, 4, 5, 6]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-7'],"""I have already created the eminent bear Jambavanta in earlier times, as he suddenly     came forth from my yawning face. [1-17-7]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-8'],"When Brahma addressed them thus, those gods have agreed to his order and accordingly     started to parent sons in the resemblance of monkeys. [1-17-8]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-9'],"The great-souled celestial groups, namely the sages, siddha-s, vidyaadharaa-s,     caarana-s have created valiant sons that are forest rangers. [1-17-9]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-10'],"Indra procreated the lord of vanara-s, namely Vali, who by his physique is like     Mt. Mahendra, and the highest humidifier among all the humidifiers, namely the     Sun, procreated Sugreeva. [1-17-10]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-11'],"Brihaspati, the Jupiter, gave rise to a great monkey named Tara, who is the most     important one among all vanara-s, and who excels all by his intelligence. [1-17-11]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-12'],"The brilliant Gandhamaadana is the son of Kubera, while the divine architect Vishvakarma     procreated the great monkey called Nala. [1-17-12]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-13'],"The bright son of Fire is Neela whose blaze is like that of fire and who excels     other monkeys by his resplendence, renown and courage. [1-17-13]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-14'],"The Ashwin twin gods whose wealth is their beautiful appearance have personally     procreated two vanara-s namely Mainda and Dvivida, blessing them with beautiful     appearance.[1-17-14]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,['1-17-15'],"The Rain-god procreated the vanara named Sushena, and Thunder-god gave rise     to the great mighty Sharabha. [1-17-15]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,"['1-17-16', ' 17a']","The direct son of Air-god is the marvellous and adventurous Hanuma with an indestructible     body, and one identical in the speed of lady Vinata's son, namely Garuda, the     divine eagle vehicle of Vishnu, and among all monkey chiefs he is the intelligent     and the indefatigable one too. [1-17-16, 17a]"
https://www.valmikiramayan.net/utf8/baala/sarga17/balasans17.htm,"['1-17-17b', ' 18a']","Thus the gods have procreated many thousands of such valorous and guise changing     monkeys who with their immeasurable strength and bravery are manifest for the     elimination of the decahedral demon Ravana. [1-17-17b, 18a]"
